GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
cluebenchmark/clue,Y,964,457,47555,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/CLUEbenchmark/CLUE/graphs/contributors shows that there are multiple contributors but mainly author,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,0,The author of the project reply to only some of the issues,1,"There are multiple license files found in models folder such as bert, ernie and bert_wwm.ext",1,There are many files related to testing specifically 1-2 for each model,531.0,99.0,415.0,415.0,3973.0,2700.0,2700.0,146.0,212.0,4104.0,0.16439628482972138,0.07366071428571429,0.04795470302750173,0.04808249333796779,0.12671833636334642,0.1313804681037419,0.1313804681037419,0.07708553326293557,0.23118865866957472,0.09224544841537423
cmu-db/ottertune,Y,977,379,14175,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/cmu-db/ottertune/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/cmu-db/ottertune/issues/347 and https://github.com/cmu-db/ottertune/issues/412",1,https://github.com/cmu-db/ottertune/blob/master/LICENSE is provided.,1,There are many files related to testing,146.0,11.0,175.0,159.0,888.0,661.0,661.0,1.0,45.0,2133.0,0.04520123839009288,0.008184523809523808,0.02022186272244049,0.018421967327076818,0.028322648550377954,0.03216388496910126,0.03216388496910126,0.0005279831045406547,0.04907306434023991,0.047943358057990555
cmusatyalab/opentpod,Y,100,219,1774,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,0,CI is not used on the project,1,There is a well-maintained documentation,1,Evidence of sustained commit activity but not stable,1,"Only 1 issue raised by users, the rest raised by author and he/she do reply/closes them",1,https://github.com/cmusatyalab/OpenTPOD/blob/master/LICENSE is provided.,1,Only 1 test file,10.0,0.0,30.0,26.0,128.0,85.0,85.0,0.0,2.0,111.0,0.0030959752321981426,0.0,0.0034666050381326557,0.0030123971729811147,0.004082543935189615,0.004136051773636319,0.004136051773636319,0.0,0.0021810250817884407,0.002494942683749157
colearninglounge/co-learning-lounge,N,322,222,13776,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/colearninglounge/co-learning-lounge/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained documentation,1,Evidence of sustained commit activity but not stable,1,Open issues more than closed,0,"There is no license to be found, either in the form of a license file or written inside the source code file.",0,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commaai/openpilot,Y,15419,1248,29861,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/commaai/openpilot/graphs/contributors shows that there are multiple contributors,1,The project uses Jenkins CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/commaai/openpilot/issues/1829 and https://github.com/commaai/openpilot/issues/1835",1,https://github.com/commaai/openpilot/blob/master/LICENSE is provided.,1,There are many files related to testing,65.0,7.0,129.0,77.0,1461.0,690.0,690.0,12.0,151.0,1825.0,0.020123839009287926,0.005208333333333333,0.014906401663970418,0.008921330089213302,0.04659841163525021,0.03357500851540071,0.03357500851540071,0.006335797254487856,0.16466739367502728,0.04102045403461452
convlab/convlab,Y,285,501,36878,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/ConvLab/ConvLab/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,Some of the functions are documented,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/ConvLab/ConvLab/issues/64 and https://github.com/ConvLab/ConvLab/issues/54.",1,https://github.com/ConvLab/ConvLab/blob/master/LICENSE is provided.,1,There are files related to testing but all over the place,455.0,76.0,224.0,192.0,1631.0,1393.0,1393.0,24.0,124.0,5089.0,0.1408668730650155,0.05654761904761904,0.025883984284723827,0.02224539450816823,0.052020540299173926,0.06778258965500462,0.06778258965500462,0.012671594508975712,0.13522355507088332,0.11438525511350865
corentinj/real-time-voice-cloning,Y,18087,253,5650,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/CorentinJ/Real-Time-Voice-Cloning/graphs/contributors shows that there are multiple contributors but mainly author,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity until June,1,"The project maintainers respond to issues, as evidenced by https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/392 and https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/337.",1,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blob/master/LICENSE.txt is provided.,0,There is no evidence of any testing done on the project.,8.0,5.0,6.0,3.0,32.0,95.0,95.0,0.0,6.0,66.0,0.002476780185758514,0.003720238095238095,0.0006933210076265311,0.0003475842891901286,0.0010206359837974038,0.004622646099946475,0.004622646099946475,0.0,0.0065430752453653224,0.0014834794335805799
cornellius-gp/gpytorch,Y,1983,2922,30013,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/cornellius-gp/gpytorch/graphs/contributors shows that there are multiple contributors.,1,The project uses TravisCI to test their build and codes,1,There is a well maintained README,1,Checking https://github.com/cornellius-gp/gpytorch/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/cornellius-gp/gpytorch/issues/1188 and https://github.com/cornellius-gp/gpytorch/issues/1184",1,https://github.com/cornellius-gp/gpytorch/blob/master/LICENSE is provided.,1,There are many files related to testing.,31.0,17.0,242.0,242.0,846.0,840.0,840.0,6.0,48.0,625.0,0.009597523219814242,0.012648809523809524,0.02796394730760342,0.028038465994670376,0.026983063821643862,0.04087392341005304,0.04087392341005304,0.003167898627243928,0.05234460196292258,0.014048100696785793
cornellnlp/cornell-conversational-analysis-toolkit,Y,178,952,12005,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/39 and https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/33.",1,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/blob/master/LICENSE.md is provided.,0,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",65.0,117.0,20.0,17.0,225.0,225.0,225.0,0.0,12.0,717.0,0.020123839009287926,0.08705357142857142,0.0023110700254217703,0.001969644305410729,0.007176346761075495,0.010948372341978492,0.010948372341978492,0.0,0.013086150490730645,0.01611598111935266
cornell-zhang/heterocl,Y,113,326,30630,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/cornell-zhang/heterocl/graphs/contributors shows that there are multiple contributors.,1,The project uses CircleCI to test their build and codes,1,There is a well maintained README,1,The project only has 11 commits in the past month.,1,The project maintainer only replied to selected few issues,1,https://github.com/cornell-zhang/heterocl/blob/master/LICENSE is provided.,1,There are many files related to testing.,98.0,621.0,173.0,172.0,1418.0,1853.0,1853.0,310.0,103.0,3423.0,0.0303405572755418,0.4620535714285714,0.019990755719898314,0.019928165913567372,0.04522693203202245,0.09016592866527176,0.09016592866527176,0.16367476240760295,0.1123227917121047,0.07693863789615643
cortexlabs/cortex,Y,5269,1376,11021,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/cortexlabs/cortex/graphs/contributors shows that there are multiple contributors.,1,The project uses CircleCI to test their build and codes,1,"There is a well maintained README at https://github.com/cortexlabs/cortex/tree/master/examples/keras/document-denoiser , https://github.com/cortexlabs/cortex/tree/master/examples/onnx/multi-model-classifier and https://github.com/cortexlabs/cortex/tree/master/examples/tensorflow/image-classifier-resnet50",1,Checking https://github.com/cortexlabs/cortex/pulse/monthly there has been significant commit activity in the past month.,1,The project maintainer only replied to selected few issues,1,https://github.com/cortexlabs/cortex/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,1.0,0.0,8.0,7.0,10.0,16.0,16.0,0.0,1.0,35.0,0.00030959752321981426,0.0,0.0009244280101687081,0.0008110300081103001,0.00031894874493668867,0.0007785509220962483,0.0007785509220962483,0.0,0.0010905125408942203,0.0007866936390200044
cpnota/autonomous-learning-library,Y,352,182,6898,The source code of the project exists as ad-hoc scripts,1,"https://github.com/cpnota/autonomous-learning-library/graphs/contributors shows that there are a handful (4) of contributors. ",1,The project hardly uses TravisCI to test their build and codes,0,Most of the functions in the source code are not documented.,1,Checking https://github.com/cpnota/autonomous-learning-library/pulse/monthly there has been significant commit activity in the past month.,0,The author of the project does not reply to issues or close them.,1,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,34.0,6.0,180.0,170.0,728.0,875.0,875.0,8.0,8.0,770.0,0.010526315789473686,0.004464285714285714,0.020799630228795933,0.01969644305410729,0.023219468631390936,0.04257700355213858,0.04257700355213858,0.004223864836325237,0.008724100327153763,0.017307260058440098
creme-ml/creme,Y,818,1238,21295,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/creme-ml/creme/graphs/contributors shows that there are multiple contributors.,1,The project uses TravisCI to test their build and codes,0,Most of the functions in the source code are not documented.,1,Checking https://github.com/creme-ml/creme/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/creme-ml/creme/issues/302",1,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,1,There are many files related to testing.,70.0,20.0,86.0,82.0,273.0,357.0,357.0,16.0,8.0,350.0,0.021671826625386997,0.01488095238095238,0.009937601109313613,0.009500637237863516,0.008707300736771601,0.017371417449272543,0.017371417449272543,0.008447729672650475,0.008724100327153763,0.007866936390200044
cyberzhg/keras-bert,Y,1747,135,2374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/CyberZHG/keras-bert/graphs/contributors shows that there are multiple contributors but mainly author,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,0,"The author of the project does not reply to issues, almost all issues are closed by bot",1,https://github.com/CyberZHG/keras-bert/blob/master/LICENSE is provided.,1,There are many files related to testing.,22.0,5.0,23.0,23.0,165.0,113.0,113.0,5.0,2.0,211.0,0.006811145510835914,0.003720238095238095,0.002657730529235036,0.002664812883790986,0.005262654291455364,0.005498515887304754,0.005498515887304754,0.0026399155227032735,0.0021810250817884407,0.0047426387952348836
dagnyt/hardnet,N,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,Some of the functions are documented,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",1,https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
danielegrattarola/spektral,Y,807,287,7627,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/danielegrattarola/spektral/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README at https://github.com/danielegrattarola/spektral/blob/master/spektral/datasets/citation.py,1,Checking https://github.com/danielegrattarola/spektral/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/danielegrattarola/spektral/issues/69, https://github.com/danielegrattarola/spektral/issues/68",1,https://github.com/danielegrattarola/spektral/blob/master/LICENSE is provided,1,There are many files related to testing.,82.0,9.0,73.0,60.0,195.0,456.0,456.0,7.0,30.0,759.0,0.02538699690402477,0.006696428571428571,0.008435405592789462,0.006951685783802572,0.006219500526265429,0.022188701279743078,0.022188701279743078,0.0036958817317845824,0.03271537622682661,0.017060013486176667
danielhanchen/hyperlearn,N,1166,204,5557,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",1,https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
databricks/spark-deep-learning,Y,1725,127,234,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/databricks/spark-deep-learning/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained documentation at https://github.com/databricks/spark-deep-learning/blob/master/dev/run.py,0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/databricks/spark-deep-learning/issues/226",1,https://github.com/databricks/spark-deep-learning/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,1.0,9.0,9.0,10.0,29.0,29.0,3.0,0.0,11.0,0.0,0.000744047619047619,0.0010399815114397967,0.0010427528675703858,0.00031894874493668867,0.0014111235462994501,0.0014111235462994501,0.001583949313621964,0.0,0.00024724657226342996
datamllab/rlcard,Y,652,618,13450,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/datamllab/rlcard/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained README at https://github.com/datamllab/rlcard/tree/master/docs,0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/datamllab/rlcard/issues/154 and https://github.com/datamllab/rlcard/issues/153",1,https://github.com/datamllab/rlcard/blob/master/LICENSE.md is provided,1,There are many files related to testing.,207.0,2.0,111.0,77.0,544.0,633.0,633.0,1.0,15.0,1460.0,0.06408668730650155,0.001488095238095238,0.012826438641090825,0.008921330089213302,0.017350811724555864,0.030801420855432825,0.030801420855432825,0.0005279831045406547,0.016357688113413305,0.03281636322769162
data-science-on-aws/workshop,N,142,1115,145801,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,0,There aren't any open issues,0,"There is no license to be found, either in the form of a license file or written as comments in the source code files",0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddbourgin/numpy-ml,Y,8741,312,16012,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/ddbourgin/numpy-ml/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,"There is a well maintained README at https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/utils, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/trees",1,There is 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/ddbourgin/numpy-ml/issues/49",1,https://github.com/ddbourgin/numpy-ml/blob/master/LICENSE is provided,1,There are many files related to testing.,120.0,15.0,81.0,57.0,1126.0,567.0,567.0,8.0,99.0,1322.0,0.03715170278637771,0.011160714285714284,0.00935983360295817,0.006604101494612444,0.03591362867987115,0.0275898983017858,0.0275898983017858,0.004223864836325237,0.10796074154852782,0.02971454259384131
deepchem/deepchem,Y,2180,4662,60118,The source code of the project exists as ad-hoc scripts,1,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained documentation at https://github.com/deepchem/deepchem/tree/master/docs,1,Checking https://github.com/deepchem/deepchem/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepchem/deepchem/issues/1975",1,https://github.com/deepchem/deepchem/blob/master/LICENSE is provided,1,There are a few files related to testing.,363.0,59.0,273.0,267.0,5844.0,2002.0,2002.0,47.0,14.0,3538.0,0.11238390092879258,0.04389880952380952,0.031546105847007164,0.030935001737921446,0.18639364654100085,0.09741618412729307,0.09741618412729307,0.02481520591341077,0.015267175572519085,0.07952348842436502
deepfakes/faceswap,Y,31057,1112,31280,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,1,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",1,https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,1,There are many files related to testing.,21.0,5.0,38.0,30.0,287.0,217.0,217.0,0.0,11.0,284.0,0.0065015479876161,0.003720238095238095,0.004391033048301364,0.003475842891901286,0.009153828979682964,0.010559096880930369,0.010559096880930369,0.0,0.011995637949836423,0.006383456956619464
deepmedic/deepmedic,Y,704,500,5935,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepmedic/deepmedic/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained documentation at https://github.com/deepmedic/deepmedic/tree/master/documentation,1,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepmedic/deepmedic/issues/177",1,https://github.com/deepmedic/deepmedic/blob/master/LICENSE.txt is provided,1,There are a few files related to testing.,90.0,0.0,46.0,45.0,362.0,438.0,438.0,0.0,190.0,1366.0,0.027863777089783284,0.0,0.005315461058470072,0.00521376433785193,0.01154594456670813,0.021312831492384797,0.021312831492384797,0.0,0.20719738276990185,0.03070352888289503
deepmind/dm-haiku,Y,618,309,15006,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepmind/dm-haiku/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained documentation at https://github.com/deepmind/dm-haiku/tree/master/docs and README at https://github.com/deepmind/dm-haiku/blob/master/haiku/experimental.py and https://github.com/deepmind/dm-haiku/blob/master/haiku/initializers.py,1,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/dm-haiku/issues/55",1,https://github.com/deepmind/dm-haiku/blob/master/LICENSE is provided,1,There are a few files related to testing.,14.0,29.0,40.0,37.0,171.0,304.0,304.0,40.0,5.0,259.0,0.0043343653250774,0.021577380952380952,0.004622140050843541,0.004286872900011587,0.005454023538417376,0.014792467519828718,0.014792467519828718,0.021119324181626188,0.0054525627044711015,0.005821532928748033
deepmind/open_spiel,Y,2217,1022,25600,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepmind/open_spiel/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well maintained documentation at https://github.com/deepmind/open_spiel/tree/master/docs , https://github.com/deepmind/open_spiel/tree/master/swift and majority of the functions at https://github.com/deepmind/open_spiel/blob/master/open_spiel/scripts/install.sh",1,Checking https://github.com/deepmind/open_spiel/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/open_spiel/issues/292 and https://github.com/deepmind/open_spiel/issues/291",1,https://github.com/deepmind/open_spiel/blob/master/LICENSE is provided,1,There are a few files related to testing.,491.0,62.0,310.0,306.0,1449.0,1754.0,1754.0,39.0,89.0,2797.0,0.1520123839009288,0.04613095238095238,0.03582158539403744,0.035453597497393116,0.04621567314132619,0.08534864483480123,0.08534864483480123,0.02059134107708553,0.0970556161395856,0.06286806023825578
deepmind/sonnet,Y,8391,814,13518,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepmind/sonnet/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/deepmind/sonnet/tree/v2/docs,1,Checking https://github.com/deepmind/sonnet/pulse/monthly there has been 2 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/sonnet/issues/172",1,https://github.com/deepmind/sonnet/blob/v2/LICENSE is provided,1,There are a few files related to testing.,54.0,106.0,148.0,135.0,448.0,774.0,774.0,50.0,33.0,454.0,0.01671826625386997,0.07886904761904762,0.0171019181881211,0.01564129301355579,0.014288903773163653,0.037662400856406014,0.037662400856406014,0.026399155227032733,0.03598691384950927,0.0102045403461452
deepmipt/deeppavlov,Y,4365,2531,34675,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepmipt/DeepPavlov/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/deepmipt/DeepPavlov/blob/master/deeppavlov/evolve.py,1,Checking https://github.com/deepmipt/DeepPavlov/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepmipt/DeepPavlov/issues/1265",1,https://github.com/deepmipt/DeepPavlov/blob/master/LICENSE is provided,1,There are many files related to testing.,57.0,15.0,9.0,5.0,15.0,75.0,75.0,0.0,11.0,227.0,0.01764705882352941,0.011160714285714284,0.0010399815114397967,0.0005793071486502144,0.000478423117405033,0.003649457447326164,0.003649457447326164,0.0,0.011995637949836423,0.0051022701730726
deepset-ai/farm,Y,797,405,16304,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deepset-ai/FARM/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/deepset-ai/FARM/blob/master/farm/train.py,1,Checking https://github.com/deepset-ai/FARM/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deepset-ai/FARM/issues/404 and https://github.com/deepset-ai/FARM/issues/385",1,https://github.com/deepset-ai/FARM/blob/master/LICENSE is provided,1,There are many files related to testing.,39.0,3.0,5.0,4.0,83.0,144.0,144.0,3.0,0.0,357.0,0.012074303405572756,0.002232142857142857,0.0005777675063554426,0.0004634457189201715,0.002647274582974516,0.007006958298866235,0.007006958298866235,0.001583949313621964,0.0,0.008024275118004045
deezer/spleeter,Y,12388,257,2404,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deezer/spleeter/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/deezer/spleeter/blob/master/spleeter/__main__.py,1,Checking https://github.com/deezer/spleeter/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deezer/spleeter/issues/418 and https://github.com/deezer/spleeter/issues/415",1,https://github.com/deezer/spleeter/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,0.0,1.0,1.0,5.0,13.0,13.0,0.0,0.0,22.0,0.0,0.0,0.00011555350127108852,0.00011586142973004287,0.00015947437246834433,0.0006325726242032018,0.0006325726242032018,0.0,0.0,0.0004944931445268599
determined-ai/determined,Y,456,883,42387,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/determined-ai/determined/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://docs.determined.ai/latest/,1,Checking https://github.com/determined-ai/determined/pulse/monthly there has been significant commit activity in the past month.,0,There aren't any open issues,1,https://github.com/determined-ai/determined/blob/master/LICENSE is provided,1,There are many files related to testing.,40.0,35.0,99.0,87.0,301.0,338.0,338.0,7.0,18.0,349.0,0.01238390092879257,0.026041666666666664,0.011439796625837764,0.01007994438651373,0.009600357222594329,0.016446888229283245,0.016446888229283245,0.0036958817317845824,0.019629225736095966,0.007844459429085187
digantamisra98/mish,N,810,1681,1642,The source code of the project exists as ad-hoc scripts,1,https://github.com/determined-ai/determined/graphs/contributors shows that there are only 3 contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/digantamisra98/Mish/blob/master/Mish/Torch/functional.py,1,Checking https://github.com/digantamisra98/Mish/pulse/monthly there has been minor commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/digantamisra98/Mish/issues/34",1,https://github.com/digantamisra98/Mish/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
digitalslidearchive/histomicstk,Y,142,2732,11165,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/DigitalSlideArchive/HistomicsTK/graphs/contributors shows that there are multiple contributors,1,The project uses various CI services,1,There is a well-maintained documentation,0,No evidence of sustained commit activity for May and June with 2 commits each,1,"The project maintainers respond to issues, as evidenced by https://github.com/DigitalSlideArchive/HistomicsTK/issues/869 and https://github.com/DigitalSlideArchive/HistomicsTK/issues/867.",1,https://github.com/DigitalSlideArchive/HistomicsTK/blob/master/LICENSE is provided.,1,There are many files related to testing.,141.0,0.0,50.0,9.0,605.0,413.0,413.0,18.0,40.0,2134.0,0.04365325077399381,0.0,0.005777675063554426,0.0010427528675703858,0.019296399068669666,0.02009634567660941,0.02009634567660941,0.009503695881731784,0.04362050163576881,0.04796583501910541
dlr-rm/stable-baselines3,Y,438,410,9226,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,1,The project uses Gitlab CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",1,https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,1,There are many files related to testing.,25.0,15.0,22.0,21.0,184.0,157.0,157.0,11.0,3.0,146.0,0.007739938080495357,0.011160714285714284,0.002542177027963947,0.0024330900243309003,0.005868656906835071,0.007639530923069437,0.007639530923069437,0.005807814149947201,0.0032715376226826612,0.0032816363227691613
