GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
tarrysingh/artificial-intelligence-deep-learning-machine-learning-tutorials,N,2365,1094,268628,Organized into projects where each project source code exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,1,The project uses Travis CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,0,The author of the project does not reply to issues or close them.,1,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials/blob/master/LICENSE is provided.,1,There are many projects in this git and some of them have test files,26.0,3.0,16.0,8.0,76.0,139.0,139.0,1.0,5.0,182.0,0.008049535603715172,0.002232142857142857,0.0018488560203374163,0.000926891437840343,0.002424010461518834,0.006763661135711157,0.006763661135711157,0.0005279831045406547,0.0054525627044711015,0.004090806922904023
tech-srl/code2vec,N,626,159,2348,The source code of the project exists as ad-hoc scripts,1,"2 have significantly more commits than others, but 10 contributers",0,X CI is not used on the project.,1,Documentation provided,0,Commit activity not negligible,1,2 open << 73 closed,1,License provided,1,Few tests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tensorflow/addons,Y,886,1123,26769,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"2 have significantly more commits than others, but 103 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,113 open < 473 closed,1,License provided,1,Few tests https://github.com/tensorflow/addons/tree/master/tools/testing,72.0,26.0,15.0,12.0,2080.0,938.0,938.0,36.0,11.0,1292.0,0.022291021671826627,0.019345238095238096,0.0017333025190663278,0.0013903371567605145,0.06634133894683125,0.04564254780789256,0.04564254780789256,0.01900739176346357,0.011995637949836423,0.029040233760395592
tensorflow/cleverhans,Y,4586,3000,26654,Organised but not in modules,1,"2 have significantly more commits than others, but 93 contributers",1,Travis used,1,Documentation provided,0,Commit activity not negligible,1,48 open << 371 closed,1,License provided,1,Quite a number of tests,212.0,28.0,284.0,280.0,2393.0,1767.0,1767.0,72.0,36.0,2773.0,0.06563467492260062,0.020833333333333332,0.03281719436098914,0.032441200324412,0.0763244346633496,0.08598121745900443,0.08598121745900443,0.03801478352692714,0.03925845147219193,0.06232861317149921
tensorflow/compression,Y,287,112,9362,Organised but not in modules,1,"2-3 have significantly more commits than others, but 15 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,4 open << 37 closed,1,License provided,0,X Doesn't seem to have unit test,21.0,35.0,44.0,37.0,262.0,250.0,250.0,1.0,2.0,89.0,0.0065015479876161,0.026041666666666664,0.005084354055927894,0.004286872900011587,0.008356457117341244,0.01216485815775388,0.01216485815775388,0.0005279831045406547,0.0021810250817884407,0.002000449539222297
tensorflow/data-validation,Y,455,464,15664,Organised but not in modules,1,"2 have significantly more commits than others, but 4 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,34 open < 62 closed,1,License provided,1,X 1 integration test https://github.com/tensorflow/data-validation/tree/master/tensorflow_data_validation/integration_tests,48.0,1.0,57.0,57.0,574.0,449.0,449.0,4.0,1.0,863.0,0.014860681114551084,0.000744047619047619,0.0065865495724520455,0.006604101494612444,0.01830765795936593,0.02184808525132597,0.02184808525132597,0.0021119324181626186,0.0010905125408942203,0.019397617442121824
tensorflow/examples,N,3396,1221,39962,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"1 has significantly more commits than others, but 177 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,46 open < 180 closed,1,License provided,0,X Doesn't seem to have unit test,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
tensorflow/fairness-indicators,Y,117,136,2818,2 modules,1,"2 have significantly more commits than others, but 11 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,all closed,1,License provided,0,X Doesn't seem to have unit test,0.0,0.0,7.0,7.0,100.0,58.0,58.0,2.0,2.0,53.0,0.0,0.0,0.0008088745088976196,0.0008110300081103001,0.003189487449366887,0.0028222470925989003,0.0028222470925989003,0.0010559662090813093,0.0021810250817884407,0.0011912789390874352
tensorflow/federated,Y,1092,2034,67554,The source code of the project exists as ad-hoc scripts,1,"4 have significantly more commits than others, but 53 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,21 open < 142 closed,1,License provided,0,X Doesn't seem to have unit test,186.0,425.0,380.0,363.0,2037.0,2997.0,2997.0,381.0,36.0,2007.0,0.05758513931888545,0.3162202380952381,0.04391033048301363,0.042057698992005565,0.06496985934360348,0.14583231959515353,0.14583231959515353,0.20116156282998943,0.03925845147219193,0.04511126095751854
tensorflow/graphics,Y,2205,281,24124,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"1 has significantly more commits than others, but 20contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,40 open < 74 closed,1,License provided,1,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
tensorflow/io,Y,331,1146,22569,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"1 has significantly more commits than others, but 20 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,100 open < 213 closed,1,License provided,1,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
tensorflow/lucid,Y,3749,610,29982,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"3 have significantly more commits than others, but 27 contributers",1,Travis used,1,Documentation provided,0,Commit activity not negligible,1,57 open < 92 closed,1,License provided,1,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
tensorflow/mesh,Y,489,476,23158,A few folders,1,"1 has significantly more commits than others, but 29 contributers",0,X CI is not used on the project.,1,Documentation provided,0,Commit activity not negligible,1,31 open < 9 closed,1,License provided,1,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
tensorflow/model-analysis,Y,962,672,39179,Organised but not in modules,1,"2 has significantly more commits than others, but 28 contributers",0,X CI is not used on the project.,1,Documentation provided,0,"Recent, Commit activity not negligible",1,14 open < 20 closed,1,License provided,1,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
